example_id                                 | status | run_time        |
------------------------------------------ | ------ | --------------- |
./spec/features/calculations_spec.rb[1:1]  | passed | 0.32682 seconds |
./spec/features/calculations_spec.rb[2:1]  | passed | 0.01024 seconds |
./spec/features/calculations_spec.rb[3:1]  | passed | 0.01167 seconds |
./spec/features/calculations_spec.rb[4:1]  | passed | 0.00878 seconds |
./spec/features/calculations_spec.rb[5:1]  | failed | 0.05888 seconds |
./spec/features/calculations_spec.rb[6:1]  | failed | 0.00854 seconds |
./spec/features/calculations_spec.rb[7:1]  | failed | 0.00809 seconds |
./spec/features/calculations_spec.rb[8:1]  | passed | 0.00684 seconds |
./spec/features/calculations_spec.rb[9:1]  | passed | 0.00692 seconds |
./spec/features/calculations_spec.rb[10:1] | passed | 0.00633 seconds |
./spec/features/calculations_spec.rb[11:1] | passed | 0.00501 seconds |
./spec/features/calculations_spec.rb[12:1] | passed | 0.00444 seconds |
./spec/features/calculations_spec.rb[13:1] | passed | 0.00444 seconds |
./spec/features/calculations_spec.rb[14:1] | passed | 0.00416 seconds |
./spec/features/calculations_spec.rb[15:1] | passed | 0.00993 seconds |
./spec/features/calculations_spec.rb[16:1] | passed | 0.00451 seconds |
./spec/features/calculations_spec.rb[17:1] | failed | 0.01102 seconds |
./spec/features/calculations_spec.rb[18:1] | failed | 0.01111 seconds |
./spec/features/calculations_spec.rb[19:1] | failed | 0.01306 seconds |
./spec/features/calculations_spec.rb[20:1] | failed | 0.01224 seconds |
./spec/features/calculations_spec.rb[21:1] | failed | 0.01234 seconds |
./spec/features/calculations_spec.rb[22:1] | failed | 0.01208 seconds |
./spec/features/calculations_spec.rb[23:1] | failed | 0.0119 seconds  |
./spec/features/calculations_spec.rb[24:1] | failed | 0.01256 seconds |
./spec/features/calculations_spec.rb[25:1] | failed | 0.01218 seconds |
./spec/features/calculations_spec.rb[26:1] | failed | 0.02346 seconds |
./spec/features/calculations_spec.rb[27:1] | failed | 0.01571 seconds |
./spec/features/calculations_spec.rb[28:1] | passed | 0.00743 seconds |
./spec/features/calculations_spec.rb[29:1] | passed | 0.00526 seconds |
./spec/features/calculations_spec.rb[30:1] | passed | 0.00502 seconds |
./spec/features/calculations_spec.rb[31:1] | passed | 0.01971 seconds |
./spec/features/calculations_spec.rb[32:1] | passed | 0.00629 seconds |
./spec/features/calculations_spec.rb[33:1] | passed | 0.00518 seconds |
./spec/features/calculations_spec.rb[34:1] | passed | 0.00468 seconds |
./spec/features/calculations_spec.rb[35:1] | passed | 0.01074 seconds |
./spec/features/calculations_spec.rb[36:1] | passed | 0.00484 seconds |
./spec/features/calculations_spec.rb[37:1] | failed | 0.01533 seconds |
./spec/features/calculations_spec.rb[38:1] | failed | 0.01608 seconds |
./spec/features/calculations_spec.rb[39:1] | failed | 0.01665 seconds |
./spec/features/calculations_spec.rb[40:1] | failed | 0.0162 seconds  |
./spec/features/calculations_spec.rb[41:1] | failed | 0.01682 seconds |
./spec/features/calculations_spec.rb[42:1] | failed | 0.00214 seconds |
./spec/features/calculations_spec.rb[43:1] | failed | 0.002 seconds   |
./spec/features/calculations_spec.rb[44:1] | failed | 0.00173 seconds |
./spec/features/calculations_spec.rb[45:1] | failed | 0.00164 seconds |
./spec/features/calculations_spec.rb[46:1] | failed | 0.00166 seconds |
./spec/features/calculations_spec.rb[47:1] | failed | 0.00167 seconds |
./spec/features/calculations_spec.rb[48:1] | failed | 0.00183 seconds |
./spec/features/calculations_spec.rb[49:1] | failed | 0.00164 seconds |
./spec/features/calculations_spec.rb[50:1] | failed | 0.00194 seconds |
